,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,14,Conv2d,0.1800130170419622,32,32,1.0,1.9488676168567605,1.543898417614692,0.8332990417201543,True,6.1973042488098145,conv2d,2.239430203316595,1.714266560108275,0.792202817811081,model.enc1.1.3,32,51.79246248078016,32,17,0,1,0.23013420053109013,6.1973042488098145,8.3572567041108,success,2.489438533782959,0.004923277534544468,over-trained,0,6.1973042488098145,0.822719156742096
1,22,Conv2d,0.1702685872654336,32,64,2.0,1.8360736951014909,1.6315011840792475,0.8909104783579308,True,7.737159252166748,conv2d,2.3492571530524913,1.851233738031158,0.8885815359328835,model.enc2.0.3,32,70.9959766715765,32,25,0,1,0.16721473902029818,7.737159252166748,9.17597458675734,success,2.7815749645233154,0.37035930156707764,over-trained,0,7.737159252166748,0.6348592042922974
2,29,Conv2d,0.12263261342544163,64,64,1.0,3.8906201394422357,4.320714874817969,0.8442816672403719,True,12.89871883392334,conv2d,4.6675596543784375,2.148107308198565,1.1105465761140567,model.enc2.1.3,64,140.63949820760172,64,9,0,1,0.9635400464807452,12.89871883392334,10.903369553084838,success,3.5914785861968994,0.010602018795907497,,0,12.89871883392334,5.328826904296875
3,37,Conv2d,0.10862496110995373,64,128,2.0,3.3790316805547516,4.025525040979518,0.8974899924158782,True,15.535492897033691,conv2d,4.55275045072682,2.331670937226731,1.1913250367391135,model.enc3.0.3,64,214.62036900222301,64,15,0,1,0.6142633385925598,15.535492897033691,13.814841307236676,success,3.9415090084075928,0.4078158736228943,,0,15.535492897033691,5.289395332336426
4,44,Conv2d,0.10203220423501258,128,128,1.0,2.44321476589027,3.538104399539612,0.841350747497878,True,28.063047409057617,conv2d,4.220275553767593,2.634255407449261,1.4481348299523644,model.enc3.1.3,128,430.7798765308944,128,31,0,1,0.2592090239172232,28.063047409057617,15.350431129295533,success,5.297456741333008,0.0035940678790211678,,0,28.063047409057617,4.429671287536621
5,53,Conv2d,0.10038300680108275,128,256,2.0,2.257354286588164,3.6857417497946376,0.8953842712700418,True,42.93096160888672,conv2d,4.368112196663385,2.8749487342450393,1.6327706163330626,model.bottleneck.0.3,128,749.8056942224503,128,52,0,1,0.17436366737377193,42.93096160888672,17.465383166894643,success,6.5521721839904785,0.5475958585739136,,0,42.93096160888672,4.444319725036621
6,60,Conv2d,0.0791323204158394,256,256,1.0,1.8566078875224556,3.755876743914931,0.8154843885790206,True,105.4333267211914,conv2d,4.434183603746799,3.1770637780880095,2.0229779099597325,model.bottleneck.1.3,256,1503.3627254232197,256,99,0,1,0.08609233198093777,105.4333267211914,14.258894907098227,success,10.268073081970215,0.010923264548182487,over-trained,0,105.4333267211914,2.7507736682891846
7,65,Conv2d,0.06626655214427613,128,256,2.0,3.2739845388354736,7.25123618435583,0.882395397730214,True,163.98519897460938,conv2d,7.838712349178648,3.7769689923856298,2.2148046511346777,model.dec3.0,1152,5983.688713915646,1152,56,0,9,0.30387396596941013,163.98519897460938,36.48919994811318,success,12.805670738220215,0.25288185477256775,,0,163.98519897460938,28.940475463867188
8,68,Conv2d,0.06402107527567913,128,128,1.0,2.575757577083522,4.394232442597855,0.8926153799805263,True,50.81549072265625,conv2d,5.485723387523151,3.448679203998063,1.7059961238950736,model.dec3.3,1152,2809.824558397036,1152,84,0,9,0.1719292469972727,50.81549072265625,55.29464575541857,success,7.128498554229736,0.00666702538728714,,1,50.81549072265625,8.68660831451416
9,73,Conv2d,0.08450827184908871,64,128,2.0,2.5059915714491474,4.794390960376216,0.8485501581265524,True,81.87875366210938,conv2d,5.388155466939647,3.197639281213408,1.913171223318899,model.dec2.0,576,1576.3014723621309,576,89,0,9,0.1596347873043543,81.87875366210938,19.25165445076368,success,9.048687934875488,0.2529252767562866,,0,81.87875366210938,5.044968128204346
10,76,Conv2d,0.05013885999344592,64,64,1.0,2.1703690391841404,3.488823526612641,0.8041196791275957,True,40.50227355957031,conv2d,4.188086924698435,2.8665443568458215,1.607479402638419,model.dec2.3,576,735.4351056071146,576,84,0,9,0.1276977312641443,40.50227355957031,18.157872163039055,success,6.364139556884766,0.010126357898116112,,2,40.50227355957031,1.9467946290969849
11,81,Conv2d,0.0662033658126071,32,64,2.0,3.3165350781883287,4.152991765770516,0.8854249070676609,True,17.87343406677246,conv2d,4.661639203817808,2.6330590493796393,1.2522080025877806,model.dec1.0,288,429.59483318030834,288,22,0,9,0.49388693813265166,17.87343406677246,24.035382992177478,success,4.22769832611084,0.25859853625297546,,0,17.87343406677246,4.506732940673828
12,84,Conv2d,0.0931445247059357,32,32,1.0,2.656974780229084,2.3951372899713865,0.843076629201914,True,7.969898223876953,conv2d,3.4261028267741955,2.391680251366888,0.9014527754625049,model.dec1.3,288,246.42243878377303,288,43,0,9,0.25268628506211716,7.969898223876953,30.91914499554311,success,2.8231008052825928,0.03847993165254593,,1,7.969898223876953,1.8424869775772095
13,98,Conv2d,0.1306029316638515,2,1,0.5,2.5533408422453894,-1.1226183288374065,0.8924481910799015,True,0.3633570075035095,conv2d,-0.42351744629094806,0.6573783441033088,-0.43966645982531033,model.cbam_dec3.spatial_attention.conv,49,4.543372490443289,49,22,0,49,0.33117338031114424,0.3633570075035095,12.503880196666929,success,0.6027910113334656,0.6027910113334656,,0,0.3633570075035095,0.07742629945278168
14,110,Conv2d,0.12419960507439137,2,1,0.5,1.759490356609227,-0.8308261024658772,0.872668037214245,True,0.33713433146476746,conv2d,0.051500352576679315,0.6239879995900354,-0.4721970196341343,model.cbam_dec2.spatial_attention.conv,49,4.207150030415505,49,39,0,49,0.12161578863660279,0.33713433146476746,12.479150409086051,success,0.5806326866149902,0.5806326866149902,over-trained,0,0.33713433146476746,0.01891416497528553
15,122,Conv2d,0.09893466475011492,2,1,0.5,3.1122027532879026,-1.56273018089918,0.9003778981830618,True,0.31468066573143005,conv2d,-1.2465576311953823,0.5005881245280704,-0.5021299397181709,model.cbam_dec1.spatial_attention.conv,49,3.1665629389099195,49,24,0,49,0.43115158157142547,0.31468066573143005,10.06278200012606,success,0.560964047908783,0.560964047908783,,0,0.31468066573143005,0.06156359985470772
